Year,Country,VAR,Value
2000,Australia,TOTAL,485018.616
2001,Australia,TOTAL,492461.681
2002,Australia,TOTAL,496318.641
2003,Australia,TOTAL,498118.962
2004,Australia,TOTAL,515931.287
2005,Australia,TOTAL,521801.01
2006,Australia,TOTAL,526437.29
2007,Australia,TOTAL,533138.415
2008,Australia,TOTAL,537031.992
2009,Australia,TOTAL,540913.37
2010,Australia,TOTAL,537275.249
2011,Australia,TOTAL,538280.611
2012,Australia,TOTAL,540615.865
2013,Australia,TOTAL,530433.519
2014,Australia,TOTAL,524957.101
2015,Australia,TOTAL,535173.674
2016,Australia,TOTAL,546771.76
2017,Australia,TOTAL,554126.561
2000,Austria,TOTAL,80414.98
2001,Austria,TOTAL,84324.341
2002,Austria,TOTAL,86110.742
2003,Austria,TOTAL,91788.393
2004,Austria,TOTAL,91382.837
2005,Austria,TOTAL,92566.556
2006,Austria,TOTAL,90117.311
2007,Austria,TOTAL,87472.735
2008,Austria,TOTAL,86816.181
2009,Austria,TOTAL,80328.502
2010,Austria,TOTAL,84753.257
2011,Austria,TOTAL,82460.3
2012,Austria,TOTAL,79811.325
2013,Austria,TOTAL,80352.532
2014,Austria,TOTAL,76679.763
2015,Austria,TOTAL,78897.253
2016,Austria,TOTAL,79596.112
2017,Austria,TOTAL,82261.468
2000,Belgium,TOTAL,149729.922
2001,Belgium,TOTAL,148131.89
2002,Belgium,TOTAL,147567.284
2003,Belgium,TOTAL,147932.269
2004,Belgium,TOTAL,149230.634
2005,Belgium,TOTAL,145283.842
2006,Belgium,TOTAL,142660.424
2007,Belgium,TOTAL,138960.92
2008,Belgium,TOTAL,138827.782
2009,Belgium,TOTAL,126262.687
2010,Belgium,TOTAL,132921.986
2011,Belgium,TOTAL,122198.356
2012,Belgium,TOTAL,119372.665
2013,Belgium,TOTAL,119304.384
2014,Belgium,TOTAL,113505.967
2015,Belgium,TOTAL,117122.085
2016,Belgium,TOTAL,115783.177
2017,Belgium,TOTAL,114539.902
2000,Canada,TOTAL,730587.602
2001,Canada,TOTAL,719733.428
2002,Canada,TOTAL,724348.553
2003,Canada,TOTAL,741002.788
2004,Canada,TOTAL,742971.644
2005,Canada,TOTAL,730349.476
2006,Canada,TOTAL,721444.528
2007,Canada,TOTAL,743766.91
2008,Canada,TOTAL,723225.103
2009,Canada,TOTAL,681699.295
2010,Canada,TOTAL,692618.853
2011,Canada,TOTAL,703378.949
2012,Canada,TOTAL,711023.233
2013,Canada,TOTAL,722062.808
2014,Canada,TOTAL,723090.986
2015,Canada,TOTAL,721992.084
2016,Canada,TOTAL,707727.166
2017,Canada,TOTAL,715749.232
2000,Czech Republic,TOTAL,149333.52
2001,Czech Republic,TOTAL,149096.973
2002,Czech Republic,TOTAL,145505.518
2003,Czech Republic,TOTAL,148758.854
2004,Czech Republic,TOTAL,149624.671
2005,Czech Republic,TOTAL,147494.144
2006,Czech Republic,TOTAL,148598.758
2007,Czech Republic,TOTAL,150336.765
2008,Czech Republic,TOTAL,145614.293
2009,Czech Republic,TOTAL,137214.519
2010,Czech Republic,TOTAL,139733.691
2011,Czech Republic,TOTAL,137753.144
2012,Czech Republic,TOTAL,133697.715
2013,Czech Republic,TOTAL,128691.099
2014,Czech Republic,TOTAL,126758.462
2015,Czech Republic,TOTAL,127777.826
2016,Czech Republic,TOTAL,129756.684
2017,Czech Republic,TOTAL,128675.047
2000,Denmark,TOTAL,71367.589
2001,Denmark,TOTAL,73066.247
2002,Denmark,TOTAL,72590.383
2003,Denmark,TOTAL,77644.968
2004,Denmark,TOTAL,71510.993
2005,Denmark,TOTAL,67090.868
2006,Denmark,TOTAL,74858.973
2007,Denmark,TOTAL,70293.314
2008,Denmark,TOTAL,66656.531
2009,Denmark,TOTAL,63875.914
2010,Denmark,TOTAL,64178.39
2011,Denmark,TOTAL,58946.94
2012,Denmark,TOTAL,54334.566
2013,Denmark,TOTAL,56021.366
2014,Denmark,TOTAL,51870.799
2015,Denmark,TOTAL,49253.853
2016,Denmark,TOTAL,51297.737
2017,Denmark,TOTAL,49225.641
2000,Finland,TOTAL,70129.822
2001,Finland,TOTAL,75490.3
2002,Finland,TOTAL,77946.671
2003,Finland,TOTAL,85531.912
2004,Finland,TOTAL,81841.153
2005,Finland,TOTAL,69812.897
2006,Finland,TOTAL,81174.185
2007,Finland,TOTAL,79513.286
2008,Finland,TOTAL,71399.309
2009,Finland,TOTAL,67804.042
2010,Finland,TOTAL,75626.967
2011,Finland,TOTAL,67805.301
2012,Finland,TOTAL,62415.207
2013,Finland,TOTAL,62893.828
2014,Finland,TOTAL,58733.067
2015,Finland,TOTAL,55122.852
2016,Finland,TOTAL,58044.309
2017,Finland,TOTAL,55334.134
2000,France,TOTAL,556370.453
2001,France,TOTAL,561354.832
2002,France,TOTAL,554879.239
2003,France,TOTAL,559543.624
2004,France,TOTAL,557794.011
2005,France,TOTAL,559498.925
2006,France,TOTAL,547093.229
2007,France,TOTAL,536947.728
2008,France,TOTAL,530315.424
2009,France,TOTAL,510350.606
2010,France,TOTAL,517115.54
2011,France,TOTAL,491009.447
2012,France,TOTAL,490856.472
2013,France,TOTAL,491141.064
2014,France,TOTAL,461479.202
2015,France,TOTAL,466384.615
2016,France,TOTAL,467622.112
2017,France,TOTAL,471028.185
2000,Germany,TOTAL,1045187.434
2001,Germany,TOTAL,1060271.286
2002,Germany,TOTAL,1038919.731
2003,Germany,TOTAL,1035574.182
2004,Germany,TOTAL,1019123.5
2005,Germany,TOTAL,993343.677
2006,Germany,TOTAL,1000637.861
2007,Germany,TOTAL,973941.704
2008,Germany,TOTAL,975645.902
2009,Germany,TOTAL,908054.023
2010,Germany,TOTAL,942541.887
2011,Germany,TOTAL,920305.852
2012,Germany,TOTAL,924611.396
2013,Germany,TOTAL,942250.052
2014,Germany,TOTAL,903196.414
2015,Germany,TOTAL,907190.482
2016,Germany,TOTAL,911049.006
2017,Germany,TOTAL,906611.464
2000,Greece,TOTAL,126346.422
2001,Greece,TOTAL,127398.953
2002,Greece,TOTAL,127395.403
2003,Greece,TOTAL,131131.716
2004,Greece,TOTAL,131814.31
2005,Greece,TOTAL,136281.248
2006,Greece,TOTAL,132390.972
2007,Greece,TOTAL,134996.582
2008,Greece,TOTAL,131716.461
2009,Greece,TOTAL,124534.99
2010,Greece,TOTAL,118436.486
2011,Greece,TOTAL,115453.96
2012,Greece,TOTAL,112146.281
2013,Greece,TOTAL,102546.572
2014,Greece,TOTAL,99113.106
2015,Greece,TOTAL,95330.374
2016,Greece,TOTAL,91697.733
2017,Greece,TOTAL,95420.782
2000,Hungary,TOTAL,73207.971
2001,Hungary,TOTAL,75243.855
2002,Hungary,TOTAL,73602.067
2003,Hungary,TOTAL,76638.835
2004,Hungary,TOTAL,75604.515
2005,Hungary,TOTAL,75359.657
2006,Hungary,TOTAL,74143.447
2007,Hungary,TOTAL,72383.62
2008,Hungary,TOTAL,70576.452
2009,Hungary,TOTAL,64585.792
2010,Hungary,TOTAL,64949.134
2011,Hungary,TOTAL,63351.009
2012,Hungary,TOTAL,59647.182
2013,Hungary,TOTAL,56795.769
2014,Hungary,TOTAL,57415.82
2015,Hungary,TOTAL,60767.143
2016,Hungary,TOTAL,61139.78
2017,Hungary,TOTAL,63787.58
2000,Iceland,TOTAL,4037.677
2001,Iceland,TOTAL,3935.29
2002,Iceland,TOTAL,4005.901
2003,Iceland,TOTAL,3984.219
2004,Iceland,TOTAL,4088.266
2005,Iceland,TOTAL,3947.31
2006,Iceland,TOTAL,4547.647
2007,Iceland,TOTAL,4853.207
2008,Iceland,TOTAL,5241.397
2009,Iceland,TOTAL,4943.028
2010,Iceland,TOTAL,4844.821
2011,Iceland,TOTAL,4581.642
