Year,Country,Variable,Value
2000,Australia,Municipal waste generated,13200
2007,Australia,Municipal waste generated,12798.666
2008,Australia,Municipal waste generated,13027.542
2009,Australia,Municipal waste generated,13256.419
2010,Australia,Municipal waste generated,13515.592
2011,Australia,Municipal waste generated,13462.519
2012,Australia,Municipal waste generated,13344.891
2013,Australia,Municipal waste generated,13227.263
2014,Australia,Municipal waste generated,13109.635
2015,Australia,Municipal waste generated,13344.539
2000,Australia,Waste from households,7660
2003,Australia,Waste from households,8903
2015,Australia,Waste from households,12010
2003,Australia,Municipal waste treated,8903
2007,Australia,Municipal waste treated,12798.666
2008,Australia,Municipal waste treated,13027.542
2009,Australia,Municipal waste treated,13256.419
2010,Australia,Municipal waste treated,13515.592
2011,Australia,Municipal waste treated,13462.519
2012,Australia,Municipal waste treated,13344.891
2013,Australia,Municipal waste treated,13227.263
2014,Australia,Municipal waste treated,13109.635
2015,Australia,Municipal waste treated,13344.539
2003,Australia,Recycling,2701
2007,Australia,Recycling,4710.243
2008,Australia,Recycling,4971.787
2009,Australia,Recycling,5233.332
2010,Australia,Recycling,5404.171
2011,Australia,Recycling,5689.411
2012,Australia,Recycling,5636.739
2013,Australia,Recycling,5584.067
2014,Australia,Recycling,5531.395
2015,Australia,Recycling,5605.196
2003,Australia,Landfill,6202
2007,Australia,Landfill,7206.41
2008,Australia,Landfill,7163.31
2009,Australia,Landfill,7120.21
2010,Australia,Landfill,7039.32
2011,Australia,Landfill,6546.76
2012,Australia,Landfill,6365.2
2013,Australia,Landfill,6183.64
2014,Australia,Landfill,6002.07
2015,Australia,Landfill,6486.13
2000,Austria,Municipal waste generated,4321
2001,Austria,Municipal waste generated,4309
2002,Austria,Municipal waste generated,4589
2003,Austria,Municipal waste generated,4607
2004,Austria,Municipal waste generated,4686.7
2005,Austria,Municipal waste generated,4731.7
2006,Austria,Municipal waste generated,4932.5
2007,Austria,Municipal waste generated,4951.1
2008,Austria,Municipal waste generated,4996.9
2009,Austria,Municipal waste generated,4921
2010,Austria,Municipal waste generated,4700.8
2011,Austria,Municipal waste generated,4806.9
2012,Austria,Municipal waste generated,4883.3
2013,Austria,Municipal waste generated,4905.2
2014,Austria,Municipal waste generated,4832.5
2015,Austria,Municipal waste generated,4836
2016,Austria,Municipal waste generated,4928.4
2017,Austria,Municipal waste generated,5017.6
2000,Austria,Waste from households,3246
2001,Austria,Waste from households,3234
2002,Austria,Waste from households,3309
2003,Austria,Waste from households,3327
2004,Austria,Waste from households,3418.7
2005,Austria,Waste from households,3463.7
2006,Austria,Waste from households,3677.7
2007,Austria,Waste from households,3728
2008,Austria,Waste from households,3786
2009,Austria,Waste from households,3895
2010,Austria,Waste from households,3788.5
2011,Austria,Waste from households,3947.2
2012,Austria,Waste from households,4020.3
2013,Austria,Waste from households,4031.7
2014,Austria,Waste from households,4170.2
2015,Austria,Waste from households,4160
2016,Austria,Waste from households,4269
2017,Austria,Waste from households,4322
2000,Austria,Other municipal waste,1074.8
2001,Austria,Other municipal waste,1075
2002,Austria,Other municipal waste,1280
2003,Austria,Other municipal waste,1280
2004,Austria,Other municipal waste,1268
2005,Austria,Other municipal waste,1268
2006,Austria,Other municipal waste,1254.8
2007,Austria,Other municipal waste,1223
2008,Austria,Other municipal waste,1210.9
2009,Austria,Other municipal waste,1026
2010,Austria,Other municipal waste,912.3
2011,Austria,Other municipal waste,859.7
2012,Austria,Other municipal waste,863
2013,Austria,Other municipal waste,873.5
2014,Austria,Other municipal waste,662.3
2015,Austria,Other municipal waste,676
2016,Austria,Other municipal waste,659.4
2017,Austria,Other municipal waste,695.6
2000,Austria,Municipal waste treated,4744
2001,Austria,Municipal waste treated,4749
2002,Austria,Municipal waste treated,4821
2003,Austria,Municipal waste treated,4950
2004,Austria,Municipal waste treated,4625
2005,Austria,Municipal waste treated,4601.3
2006,Austria,Municipal waste treated,4834.2
2007,Austria,Municipal waste treated,4859.4
2008,Austria,Municipal waste treated,4888.7
2009,Austria,Municipal waste treated,4787.6
2010,Austria,Municipal waste treated,4581.7
2011,Austria,Municipal waste treated,4631.7
2012,Austria,Municipal waste treated,4718.2
2013,Austria,Municipal waste treated,4743.5
2014,Austria,Municipal waste treated,4673.2
2015,Austria,Municipal waste treated,4727.8
2016,Austria,Municipal waste treated,4825.2
2017,Austria,Municipal waste treated,4944.1
2000,Austria,Recycling,1129
2001,Austria,Recycling,1125
2002,Austria,Recycling,1115
2003,Austria,Recycling,1110
2004,Austria,Recycling,1116
2005,Austria,Recycling,1179.7
2006,Austria,Recycling,1258.5
2007,Austria,Recycling,1318
2008,Austria,Recycling,1476
2009,Austria,Recycling,1491.9
2010,Austria,Recycling,1272.2
2011,Austria,Recycling,1145.6
2012,Austria,Recycling,1168
2013,Austria,Recycling,1202.4
2014,Austria,Recycling,1231
2015,Austria,Recycling,1240.5
2016,Austria,Recycling,1253.8
2017,Austria,Recycling,1296.4
2000,Austria,Landfill,1572
2001,Austria,Landfill,1542
2002,Austria,Landfill,1512
2003,Austria,Landfill,1483
2004,Austria,Landfill,557
2005,Austria,Landfill,534.8
2006,Austria,Landfill,484.8
2007,Austria,Landfill,427.2
2008,Austria,Landfill,373.1
2009,Austria,Landfill,302.1
2010,Austria,Landfill,153.3
2011,Austria,Landfill,229.9
2012,Austria,Landfill,207.3
2013,Austria,Landfill,199
2014,Austria,Landfill,194.1
2015,Austria,Landfill,143.6
2016,Austria,Landfill,132.2
2017,Austria,Landfill,102.9
2000,Belgium,Municipal waste generated,4830
2001,Belgium,Municipal waste generated,4802
2002,Belgium,Municipal waste generated,4981
2003,Belgium,Municipal waste generated,4824
2004,Belgium,Municipal waste generated,5059
2005,Belgium,Municipal waste generated,5052
2006,Belgium,Municipal waste generated,5115
2007,Belgium,Municipal waste generated,5243
2008,Belgium,Municipal waste generated,5119
2009,Belgium,Municipal waste generated,5021
2010,Belgium,Municipal waste generated,4953
2011,Belgium,Municipal waste generated,5003
2012,Belgium,Municipal waste generated,4944
2013,Belgium,Municipal waste generated,4867
2014,Belgium,Municipal waste generated,4762
2015,Belgium,Municipal waste generated,4643
2016,Belgium,Municipal waste generated,4746
2017,Belgium,Municipal waste generated,4659
2000,Belgium,Waste from households,3863
2001,Belgium,Waste from households,3797
2002,Belgium,Waste from households,3829
2003,Belgium,Waste from households,3724
2004,Belgium,Waste from households,3894.7
2005,Belgium,Waste from households,3863.6
2006,Belgium,Waste from households,3916.6
2007,Belgium,Waste from households,4042.3
2008,Belgium,Waste from households,4031.9
2009,Belgium,Waste from households,4058.5
2010,Belgium,Waste from households,3897.29
2000,Belgium,Other municipal waste,967
2001,Belgium,Other municipal waste,1005
2002,Belgium,Other municipal waste,1152
2003,Belgium,Other municipal waste,1100
2004,Belgium,Other municipal waste,1164.3
2005,Belgium,Other municipal waste,1188.4
2006,Belgium,Other municipal waste,1198.4
2007,Belgium,Other municipal waste,1200.7
2008,Belgium,Other municipal waste,1102.1
2009,Belgium,Other municipal waste,978.5
2010,Belgium,Other municipal waste,1075.71
2000,Belgium,Municipal waste treated,4895
2001,Belgium,Municipal waste treated,4644
2002,Belgium,Municipal waste treated,4798
2003,Belgium,Municipal waste treated,4800
2004,Belgium,Municipal waste treated,5004
2005,Belgium,Municipal waste treated,5188
2006,Belgium,Municipal waste treated,4990
2007,Belgium,Municipal waste treated,5454
2008,Belgium,Municipal waste treated,4936
2009,Belgium,Municipal waste treated,4827
2010,Belgium,Municipal waste treated,4791
2011,Belgium,Municipal waste treated,4824
2012,Belgium,Municipal waste treated,4717
2013,Belgium,Municipal waste treated,4810
2014,Belgium,Municipal waste treated,4755
2015,Belgium,Municipal waste treated,4644
2016,Belgium,Municipal waste treated,4752
2017,Belgium,Municipal waste treated,4620
2000,Belgium,Recycling,1245
2001,Belgium,Recycling,1305
2002,Belgium,Recycling,1365
2003,Belgium,Recycling,1336
2004,Belgium,Recycling,1408
2005,Belgium,Recycling,1547
2006,Belgium,Recycling,1601
2007,Belgium,Recycling,1741
2008,Belgium,Recycling,1664
2009,Belgium,Recycling,1697
2010,Belgium,Recycling,1672
2011,Belgium,Recycling,1707
2012,Belgium,Recycling,1600
2013,Belgium,Recycling,1539
2014,Belgium,Recycling,1590
2015,Belgium,Recycling,1584
2016,Belgium,Recycling,1575
2017,Belgium,Recycling,1580
2000,Belgium,Landfill,936
2001,Belgium,Landfill,760
2002,Belgium,Landfill,575
2003,Belgium,Landfill,536
