Year,Country,Pollutant,Value
2000,Australia,Sulphur Oxides,2343.287
2001,Australia,Sulphur Oxides,2585.104
2002,Australia,Sulphur Oxides,2775.525
2003,Australia,Sulphur Oxides,2775.016
2004,Australia,Sulphur Oxides,2512.628
2005,Australia,Sulphur Oxides,2520.313
2006,Australia,Sulphur Oxides,2482.62
2007,Australia,Sulphur Oxides,2444.895
2008,Australia,Sulphur Oxides,2512.441
2009,Australia,Sulphur Oxides,2599.968
2010,Australia,Sulphur Oxides,2380.047
2011,Australia,Sulphur Oxides,2507.875
2012,Australia,Sulphur Oxides,2519.087
2013,Australia,Sulphur Oxides,2414.101
2014,Australia,Sulphur Oxides,2499.419
2015,Australia,Sulphur Oxides,2385.87
2016,Australia,Sulphur Oxides,2464.911
2017,Australia,Sulphur Oxides,2288.491
2000,Australia,Nitrogen Oxides,1875.864
2001,Australia,Nitrogen Oxides,1959.907
2002,Australia,Nitrogen Oxides,2039.96
2003,Australia,Nitrogen Oxides,2121.206
2004,Australia,Nitrogen Oxides,2174.572
2005,Australia,Nitrogen Oxides,2194.335
2006,Australia,Nitrogen Oxides,2204.751
2007,Australia,Nitrogen Oxides,2223.923
2008,Australia,Nitrogen Oxides,2277.338
2009,Australia,Nitrogen Oxides,2247.099
2010,Australia,Nitrogen Oxides,2335.617
2011,Australia,Nitrogen Oxides,2282.374
2012,Australia,Nitrogen Oxides,2433.314
2013,Australia,Nitrogen Oxides,2503.427
2014,Australia,Nitrogen Oxides,2523.771
2015,Australia,Nitrogen Oxides,2540.814
2016,Australia,Nitrogen Oxides,2596.175
2017,Australia,Nitrogen Oxides,2665.386
2000,Australia,Carbon Monoxide,5387.306
2001,Australia,Carbon Monoxide,5121.711
2002,Australia,Carbon Monoxide,4985.813
2003,Australia,Carbon Monoxide,4499.161
2004,Australia,Carbon Monoxide,4593.24
2005,Australia,Carbon Monoxide,3973.013
2006,Australia,Carbon Monoxide,3944.595
2007,Australia,Carbon Monoxide,3382.893
2008,Australia,Carbon Monoxide,3226.74
2009,Australia,Carbon Monoxide,3158.219
2010,Australia,Carbon Monoxide,2994.791
2011,Australia,Carbon Monoxide,2939.839
2012,Australia,Carbon Monoxide,2902.792
2013,Australia,Carbon Monoxide,2838.238
2014,Australia,Carbon Monoxide,2768.896
2015,Australia,Carbon Monoxide,2721.381
2016,Australia,Carbon Monoxide,2648.313
2017,Australia,Carbon Monoxide,2815.042
2000,Australia,Non-methane Volatile Organic Compounds,1264.924
2001,Australia,Non-methane Volatile Organic Compounds,1247.596
2002,Australia,Non-methane Volatile Organic Compounds,1269.871
2003,Australia,Non-methane Volatile Organic Compounds,1245.552
2004,Australia,Non-methane Volatile Organic Compounds,1253.829
2005,Australia,Non-methane Volatile Organic Compounds,1232.662
2006,Australia,Non-methane Volatile Organic Compounds,1242.832
2007,Australia,Non-methane Volatile Organic Compounds,1216.514
2008,Australia,Non-methane Volatile Organic Compounds,1217.135
2009,Australia,Non-methane Volatile Organic Compounds,1229.026
2010,Australia,Non-methane Volatile Organic Compounds,1232.184
2011,Australia,Non-methane Volatile Organic Compounds,1232.324
2012,Australia,Non-methane Volatile Organic Compounds,1241.5
2013,Australia,Non-methane Volatile Organic Compounds,1259.873
2014,Australia,Non-methane Volatile Organic Compounds,1293.856
2015,Australia,Non-methane Volatile Organic Compounds,1307.687
2016,Australia,Non-methane Volatile Organic Compounds,1308.345
2017,Australia,Non-methane Volatile Organic Compounds,1333.871
2000,Austria,Sulphur Oxides,31.577
2001,Austria,Sulphur Oxides,32.481
2002,Austria,Sulphur Oxides,31.497
2003,Austria,Sulphur Oxides,31.387
2004,Austria,Sulphur Oxides,26.904
2005,Austria,Sulphur Oxides,25.372
2006,Austria,Sulphur Oxides,26.203
2007,Austria,Sulphur Oxides,22.918
2008,Austria,Sulphur Oxides,19.878
