Year,Variable,Country,Unit,PowerCode,Value
2000,Fellings,Australia,Cubic metres,Thousands,24407.727000000003
2001,Fellings,Australia,Cubic metres,Thousands,24474.0
2002,Fellings,Australia,Cubic metres,Thousands,24296.0
2003,Fellings,Australia,Cubic metres,Thousands,25819.0
2004,Fellings,Australia,Cubic metres,Thousands,26498.0
2005,Fellings,Australia,Cubic metres,Thousands,26998.357999999997
2006,Fellings,Australia,Cubic metres,Thousands,26734.156000000003
2007,Fellings,Australia,Cubic metres,Thousands,27192.006
2008,Fellings,Australia,Cubic metres,Thousands,28367.757999999998
2009,Fellings,Australia,Cubic metres,Thousands,25798.803
2010,Fellings,Australia,Cubic metres,Thousands,25563.0
2011,Fellings,Australia,Cubic metres,Thousands,26532.0
2012,Fellings,Australia,Cubic metres,Thousands,23497.0
2013,Fellings,Australia,Cubic metres,Thousands,22580.0
2014,Fellings,Australia,Cubic metres,Thousands,25266.0
2015,Fellings,Australia,Cubic metres,Thousands,27290.0
2016,Fellings,Australia,Cubic metres,Thousands,30083.0
2005,Fellings,Austria,Cubic metres,Thousands,23511.0
2000,Fellings,Belgium,Cubic metres,Thousands,3457.0
2005,Fellings,Belgium,Cubic metres,Thousands,4389.0
2010,Fellings,Belgium,Cubic metres,Thousands,5230.195
2012,Fellings,Belgium,Cubic metres,Thousands,5057.122
2000,Fellings,Canada,Cubic metres,Thousands,202372.0
2001,Fellings,Canada,Cubic metres,Thousands,187300.0
2002,Fellings,Canada,Cubic metres,Thousands,198231.0
2003,Fellings,Canada,Cubic metres,Thousands,184273.0
2004,Fellings,Canada,Cubic metres,Thousands,210871.0
2005,Fellings,Canada,Cubic metres,Thousands,205665.0
2006,Fellings,Canada,Cubic metres,Thousands,185359.0
2007,Fellings,Canada,Cubic metres,Thousands,165921.0
2008,Fellings,Canada,Cubic metres,Thousands,141397.0
2009,Fellings,Canada,Cubic metres,Thousands,118935.0
2010,Fellings,Canada,Cubic metres,Thousands,144274.0
2011,Fellings,Canada,Cubic metres,Thousands,150483.0
2012,Fellings,Canada,Cubic metres,Thousands,153185.0
2013,Fellings,Canada,Cubic metres,Thousands,155531.0
2014,Fellings,Canada,Cubic metres,Thousands,155136.0
2015,Fellings,Canada,Cubic metres,Thousands,160164.0
2016,Fellings,Canada,Cubic metres,Thousands,156744.0
2000,Fellings,Czech Republic,Cubic metres,Thousands,16005.0
2001,Fellings,Czech Republic,Cubic metres,Thousands,15931.0
2002,Fellings,Czech Republic,Cubic metres,Thousands,16116.0
2003,Fellings,Czech Republic,Cubic metres,Thousands,16780.0
2004,Fellings,Czech Republic,Cubic metres,Thousands,17291.0
2005,Fellings,Czech Republic,Cubic metres,Thousands,17190.0
2006,Fellings,Czech Republic,Cubic metres,Thousands,19593.0
2007,Fellings,Czech Republic,Cubic metres,Thousands,20513.0
2008,Fellings,Czech Republic,Cubic metres,Thousands,17940.0
2009,Fellings,Czech Republic,Cubic metres,Thousands,17179.0
2010,Fellings,Czech Republic,Cubic metres,Thousands,18553.0
2011,Fellings,Czech Republic,Cubic metres,Thousands,17047.0
2012,Fellings,Czech Republic,Cubic metres,Thousands,16692.0
2013,Fellings,Czech Republic,Cubic metres,Thousands,16991.0
2014,Fellings,Czech Republic,Cubic metres,Thousands,17152.0
2015,Fellings,Czech Republic,Cubic metres,Thousands,17913.0
2016,Fellings,Czech Republic,Cubic metres,Thousands,19525.0
2017,Fellings,Czech Republic,Cubic metres,Thousands,21487.0
2000,Fellings,Denmark,Cubic metres,Thousands,3193.0
2001,Fellings,Denmark,Cubic metres,Thousands,1559.0
2002,Fellings,Denmark,Cubic metres,Thousands,1397.0
2003,Fellings,Denmark,Cubic metres,Thousands,1572.0
2004,Fellings,Denmark,Cubic metres,Thousands,1623.0
2005,Fellings,Denmark,Cubic metres,Thousands,2576.0
2006,Fellings,Denmark,Cubic metres,Thousands,2043.0
2007,Fellings,Denmark,Cubic metres,Thousands,2217.0
2008,Fellings,Denmark,Cubic metres,Thousands,2062.0
2009,Fellings,Denmark,Cubic metres,Thousands,2091.0
2010,Fellings,Denmark,Cubic metres,Thousands,2309.0
2011,Fellings,Denmark,Cubic metres,Thousands,2231.0
2012,Fellings,Denmark,Cubic metres,Thousands,3981.0
2013,Fellings,Denmark,Cubic metres,Thousands,4195.0
2014,Fellings,Denmark,Cubic metres,Thousands,4345.0
2015,Fellings,Denmark,Cubic metres,Thousands,3831.0
2016,Fellings,Denmark,Cubic metres,Thousands,3939.0
2017,Fellings,Denmark,Cubic metres,Thousands,4270.782
2000,Fellings,Finland,Cubic metres,Thousands,69973.0
2001,Fellings,Finland,Cubic metres,Thousands,67723.0
2002,Fellings,Finland,Cubic metres,Thousands,68711.0
2003,Fellings,Finland,Cubic metres,Thousands,69896.0
2004,Fellings,Finland,Cubic metres,Thousands,69934.0
2005,Fellings,Finland,Cubic metres,Thousands,67326.0
2006,Fellings,Finland,Cubic metres,Thousands,65376.0
2007,Fellings,Finland,Cubic metres,Thousands,72932.0
2008,Fellings,Finland,Cubic metres,Thousands,71208.0
2009,Fellings,Finland,Cubic metres,Thousands,60135.0
2010,Fellings,Finland,Cubic metres,Thousands,72788.0
2011,Fellings,Finland,Cubic metres,Thousands,73643.0
2012,Fellings,Finland,Cubic metres,Thousands,72900.0
2013,Fellings,Finland,Cubic metres,Thousands,79185.0
2014,Fellings,Finland,Cubic metres,Thousands,79152.0
