Year,Country,GH_Energy,GH_Transport,GH_Total,GH_Waste
2000,Mexico,388524.421,117209.093,544660.103,23516.37
2001,Mexico,384016.621,117440.777,537610.978,24618.883
2002,Mexico,403130.019,119811.557,557652.412,25220.734
2003,Mexico,405611.557,127479.628,563298.299,25836.017
2004,Mexico,415276.319,135076.858,574316.756,25905.505
2005,Mexico,427667.238,139304.026,592587.216,28513.999
2006,Mexico,446791.302,147739.093,616361.7,30539.817
2007,Mexico,469983.561,158938.915,646665.303,32897.15
2008,Mexico,512085.954,168198.001,691822.339,35428.171
2009,Mexico,491313.434,161207.233,671577.378,37752.409
2010,Mexico,482483.74,164226.385,669084.029,39948.336
2011,Mexico,488342.824,167477.78,681190.359,41289.8
2012,Mexico,482297.096,167825.341,673721.904,42326.951
2013,Mexico,488339.507,164759.898,683120.592,43552.921
2014,Mexico,486760.061,163402.742,686159.5,44435.224
2015,Mexico,497483.996,171354.836,699564.266,45909.01
2000,Hungary,54665.138,9080.932,73207.971,4235.409
2001,Hungary,56584.688,9573.016,75243.855,4233.958
2002,Hungary,55393.694,10185.717,73602.067,4314.897
2003,Hungary,58374.083,10661.229,76638.835,4376.905
2004,Hungary,56459.401,11102.158,75604.515,4238.265
2005,Hungary,55961.534,12025.565,75359.657,4194.096
2006,Hungary,55204.437,12770.776,74143.447,4193.071
2007,Hungary,53697.864,13088.591,72383.62,4196.039
2008,Hungary,53031.755,13018.272,70576.452,4182.662
2009,Hungary,48430.079,12980.41,64585.792,4173.478
2010,Hungary,48770.19,11649.458,64949.134,4111.212
2011,Hungary,47019.107,11078.199,63351.009,3960.725
2012,Hungary,43767.962,10749.742,59647.182,3921.966
2013,Hungary,41313.095,10026.44,56795.769,3706.897
2014,Hungary,40875.771,11184.765,57415.82,3608.475
2015,Hungary,43338.444,12203.415,60767.143,3470.443
2016,Hungary,44451.963,12474.803,61139.78,3359.928
2017,Hungary,46150.071,13143.316,63787.58,3376.859
2000,United States,6168634.348,1811649.678,7232010.774,164366.008
2001,United States,6090369.016,1788207.863,7116810.082,159507.459
2002,United States,6121759.41,1828580.164,7156652.868,157680.376
2003,United States,6174167.004,1816961.474,7199262.662,160547.809
2004,United States,6280019.049,1857446.06,7333052.049,158178.578
2005,United States,6307950.169,1877747.954,7339039.869,154722.779
2006,United States,6223855.613,1874149.512,7270326.948,152726.652
