Year,Country,VAR,Variable,Unit Code,Unit,PowerCode,Value
2000,Australia,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,13200.0
2007,Australia,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,12798.666000000001
2008,Australia,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,13027.542
2009,Australia,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,13256.419
2010,Australia,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,13515.591999999999
2011,Australia,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,13462.518999999998
2012,Australia,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,13344.891000000001
2013,Australia,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,13227.263
2014,Australia,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,13109.635
2015,Australia,MUNICIPAL,Municipal waste generated,TONNE,Tonnes,Thousands,13344.538999999999
2000,Australia,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,7660.0
2003,Australia,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,8903.0
2015,Australia,HOUSEHOLD,Waste from households,TONNE,Tonnes,Thousands,12010.0
2003,Australia,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,8903.0
2007,Australia,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,12798.666000000001
2008,Australia,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,13027.542
2009,Australia,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,13256.419
2010,Australia,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,13515.591999999999
2011,Australia,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,13462.518999999998
2012,Australia,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,13344.891000000001
2013,Australia,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,13227.263
2014,Australia,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,13109.635
2015,Australia,TREATMENT,Municipal waste treated,TONNE,Tonnes,Thousands,13344.538999999999
2003,Australia,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,2701.0
2007,Australia,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,5592.26
2008,Australia,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,5864.23
2009,Australia,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,6136.21
2010,Australia,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,6476.28
2011,Australia,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,6915.76
2012,Australia,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,6979.7
2013,Australia,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,7043.63
2014,Australia,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,7107.56
2015,Australia,RECOVERY,Amount designated for recovery operations,TONNE,Tonnes,Thousands,6858.41
2003,Australia,RECYCLING,Recycling,TONNE,Tonnes,Thousands,2701.0
2007,Australia,RECYCLING,Recycling,TONNE,Tonnes,Thousands,4710.2429999999995
2008,Australia,RECYCLING,Recycling,TONNE,Tonnes,Thousands,4971.787
2009,Australia,RECYCLING,Recycling,TONNE,Tonnes,Thousands,5233.332
2010,Australia,RECYCLING,Recycling,TONNE,Tonnes,Thousands,5404.170999999999
2011,Australia,RECYCLING,Recycling,TONNE,Tonnes,Thousands,5689.411
2012,Australia,RECYCLING,Recycling,TONNE,Tonnes,Thousands,5636.7390000000005
2013,Australia,RECYCLING,Recycling,TONNE,Tonnes,Thousands,5584.066999999999
2014,Australia,RECYCLING,Recycling,TONNE,Tonnes,Thousands,5531.395
2015,Australia,RECYCLING,Recycling,TONNE,Tonnes,Thousands,5605.196
2007,Australia,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,882.0160000000001
2008,Australia,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,892.447
2009,Australia,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,902.8789999999999
2010,Australia,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1072.105
2011,Australia,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1226.353
2012,Australia,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1342.957
2013,Australia,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1459.5610000000001
2014,Australia,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1576.165
2015,Australia,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1253.214
2003,Australia,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,6202.0
2007,Australia,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,7206.41
2008,Australia,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,7163.31
2009,Australia,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,7120.21
2010,Australia,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,7039.32
2011,Australia,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,6546.76
2012,Australia,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,6365.2
2013,Australia,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,6183.64
2014,Australia,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,6002.07
2015,Australia,DISPOSAL,Disposal operations,TONNE,Tonnes,Thousands,6486.13
2003,Australia,LANDFILL,Landfill,TONNE,Tonnes,Thousands,6202.0
2007,Australia,LANDFILL,Landfill,TONNE,Tonnes,Thousands,7206.41
2008,Australia,LANDFILL,Landfill,TONNE,Tonnes,Thousands,7163.31
2009,Australia,LANDFILL,Landfill,TONNE,Tonnes,Thousands,7120.21
2010,Australia,LANDFILL,Landfill,TONNE,Tonnes,Thousands,7039.32
2011,Australia,LANDFILL,Landfill,TONNE,Tonnes,Thousands,6546.76
2012,Australia,LANDFILL,Landfill,TONNE,Tonnes,Thousands,6365.2
2013,Australia,LANDFILL,Landfill,TONNE,Tonnes,Thousands,6183.64
2014,Australia,LANDFILL,Landfill,TONNE,Tonnes,Thousands,6002.07
2015,Australia,LANDFILL,Landfill,TONNE,Tonnes,Thousands,6486.13
2003,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,30.338
2007,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,36.803000000000004
2008,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,38.164
2009,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,39.478
2010,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,39.985
2011,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,42.261
2012,Australia,RECYCLING_SHARE,% Recycling,PC,Percentage,Units,42.239
