IUCN Category,Species,Country,Unit,PowerCode,Value
Total number of known species,Mammals,Australia,Number,Units,402
Number of endangered species,Mammals,Australia,Number,Units,37
Number of critically endangered species,Mammals,Australia,Number,Units,5
Number of vulnerable species,Mammals,Australia,Number,Units,67
Total number of threatened species,Mammals,Australia,Number,Units,109
Total number of known species,Mammals,Austria,Number,Units,101
Total number of indigenous known species,Mammals,Austria,Number,Units,101
Number of endangered species,Mammals,Austria,Number,Units,6
Number of critically endangered species,Mammals,Austria,Number,Units,4
Number of vulnerable species,Mammals,Austria,Number,Units,17
Total number of threatened species,Mammals,Austria,Number,Units,27
Number of endangered indigenous species,Mammals,Austria,Number,Units,6
Number of critically endangered indigenous species,Mammals,Austria,Number,Units,4
Number of vulnerable indigenous species,Mammals,Austria,Number,Units,17
Total number of known species,Mammals,Belgium,Number,Units,84
Total number of indigenous known species,Mammals,Belgium,Number,Units,65
Number of endangered species,Mammals,Belgium,Number,Units,2
Number of critically endangered species,Mammals,Belgium,Number,Units,4
Number of vulnerable species,Mammals,Belgium,Number,Units,12
Total number of threatened species,Mammals,Belgium,Number,Units,18
Number of endangered indigenous species,Mammals,Belgium,Number,Units,2
Number of critically endangered indigenous species,Mammals,Belgium,Number,Units,4
Number of vulnerable indigenous species,Mammals,Belgium,Number,Units,12
Total number of known species,Mammals,Canada,Number,Units,221
Total number of indigenous known species,Mammals,Canada,Number,Units,209
Number of endangered species,Mammals,Canada,Number,Units,10
Number of vulnerable species,Mammals,Canada,Number,Units,31
Total number of threatened species,Mammals,Canada,Number,Units,52
Number of endangered indigenous species,Mammals,Canada,Number,Units,10
Number of vulnerable indigenous species,Mammals,Canada,Number,Units,31
Total number of known species,Mammals,Czech Republic,Number,Units,91
Total number of indigenous known species,Mammals,Czech Republic,Number,Units,77
Number of endangered species,Mammals,Czech Republic,Number,Units,1
Number of critically endangered species,Mammals,Czech Republic,Number,Units,10
Number of vulnerable species,Mammals,Czech Republic,Number,Units,4
Total number of threatened species,Mammals,Czech Republic,Number,Units,15
Total number of known species,Mammals,Denmark,Number,Units,67
Total number of indigenous known species,Mammals,Denmark,Number,Units,58
Number of endangered species,Mammals,Denmark,Number,Units,1
Number of vulnerable species,Mammals,Denmark,Number,Units,10
Total number of threatened species,Mammals,Denmark,Number,Units,11
Number of endangered indigenous species,Mammals,Denmark,Number,Units,1
Number of vulnerable indigenous species,Mammals,Denmark,Number,Units,10
Total number of known species,Mammals,Finland,Number,Units,75
Total number of indigenous known species,Mammals,Finland,Number,Units,67
Number of endangered species,Mammals,Finland,Number,Units,4
Number of critically endangered species,Mammals,Finland,Number,Units,1
Number of vulnerable species,Mammals,Finland,Number,Units,2
Total number of threatened species,Mammals,Finland,Number,Units,7
Number of endangered indigenous species,Mammals,Finland,Number,Units,4
Number of critically endangered indigenous species,Mammals,Finland,Number,Units,1
Number of vulnerable indigenous species,Mammals,Finland,Number,Units,2
Total number of known species,Mammals,France,Number,Units,125
Number of endangered species,Mammals,France,Number,Units,4
Number of critically endangered species,Mammals,France,Number,Units,3
Number of vulnerable species,Mammals,France,Number,Units,10
Total number of threatened species,Mammals,France,Number,Units,17
Total number of known species,Mammals,Germany,Number,Units,93
Total number of indigenous known species,Mammals,Germany,Number,Units,85
Number of endangered species,Mammals,Germany,Number,Units,9
Number of critically endangered species,Mammals,Germany,Number,Units,8
Number of vulnerable species,Mammals,Germany,Number,Units,15
Total number of threatened species,Mammals,Germany,Number,Units,32
Number of endangered indigenous species,Mammals,Germany,Number,Units,9
Number of critically endangered indigenous species,Mammals,Germany,Number,Units,8
Number of vulnerable indigenous species,Mammals,Germany,Number,Units,15
Total number of known species,Mammals,Greece,Number,Units,115
