Species,Country,Threatened species as % of known species
Mammals,Australia,27.114
Birds,Australia,16.835
Reptiles,Australia,5.951
Amphibians,Australia,11.983
Vascular plants,Australia,6.58
Fish,Australia,0.923
Mammals,Austria,26.733
Birds,Austria,27.273
Reptiles,Austria,64.286
Amphibians,Austria,60
Vascular plants,Austria,33.39
Fish,Austria,46.429
Freshwater Fish,Austria,46.429
Mammals,Belgium,21.429
Birds,Belgium,27.778
Reptiles,Belgium,40
Amphibians,Belgium,31.579
Vascular plants,Belgium,23.267
Fish,Belgium,20.423
Marine Fish,Belgium,14.141
Freshwater Fish,Belgium,34.884
Mammals,Canada,23.529
Birds,Canada,13.056
Reptiles,Canada,57.778
Amphibians,Canada,34.043
Vascular plants,Canada,21.35
Fish,Canada,6.395
Marine Fish,Canada,4.294
Freshwater Fish,Canada,21.818
Mammals,Czech Republic,16.484
Birds,Czech Republic,47.143
Reptiles,Czech Republic,53.846
Amphibians,Czech Republic,72.727
Vascular plants,Czech Republic,25.527
Fish,Czech Republic,38.462
Freshwater Fish,Czech Republic,38.462
Mammals,Denmark,16.418
Birds,Denmark,16.268
Amphibians,Denmark,6.667
Vascular plants,Denmark,4.022
Freshwater Fish,Denmark,14.545
Mammals,Finland,9.333
Birds,Finland,35.081
Reptiles,Finland,20
Amphibians,Finland,14.286
Vascular plants,Finland,15.887
Freshwater Fish,Finland,17.391
Mammals,France,13.6
Birds,France,27.366
Reptiles,France,23.684
Amphibians,France,22.857
Freshwater Fish,France,21.739
Mammals,Germany,34.409
Birds,Germany,35.606
Reptiles,Germany,61.538
Amphibians,Germany,36.364
Vascular plants,Germany,27.384
Freshwater Fish,Germany,30.108
Mammals,Greece,25.217
Birds,Greece,14.091
Reptiles,Greece,13.636
Amphibians,Greece,26.087
Vascular plants,Greece,4.359
Fish,Greece,9.474
Marine Fish,Greece,2.74
Freshwater Fish,Greece,31.818
Mammals,Hungary,16.092
Birds,Hungary,17.931
Reptiles,Hungary,26.667
Amphibians,Hungary,11.111
Vascular plants,Hungary,14.039
Fish,Hungary,43.21
Freshwater Fish,Hungary,43.21
Birds,Iceland,44
Vascular plants,Iceland,11.872
Mammals,Ireland,1.754
Birds,Ireland,26.569
Reptiles,Ireland,0
Amphibians,Ireland,33.333
Vascular plants,Ireland,9.619
Freshwater Fish,Ireland,17.857
Mammals,Italy,18.254
Birds,Italy,27.715
Reptiles,Italy,19.643
Amphibians,Italy,31.818
Vascular plants,Italy,6.748
Freshwater Fish,Italy,25.773
Mammals,Japan,20.625
Birds,Japan,13.857
Reptiles,Japan,37
Amphibians,Japan,37.662
Vascular plants,Japan,25.514
Freshwater Fish,Japan,42.25
Mammals,Korea,11.2
Birds,Korea,10.436
Reptiles,Korea,15.625
Amphibians,Korea,25
Vascular plants,Korea,4.958
Fish,Korea,2.031
Birds,Luxembourg,19.084
Reptiles,Luxembourg,33.333
Amphibians,Luxembourg,28.571
Vascular plants,Luxembourg,26.757
Fish,Luxembourg,27.907
Freshwater Fish,Luxembourg,27.907
