Year,Country,Carbon Monoxide,Nitrogen Oxides
2000,Australia,5387.306,1875.864
2001,Australia,5121.711,1959.907
2002,Australia,4985.813,2039.96
2003,Australia,4499.161,2121.206
2004,Australia,4593.24,2174.572
2005,Australia,3973.013,2194.335
2006,Australia,3944.595,2204.751
2007,Australia,3382.893,2223.923
2008,Australia,3226.74,2277.338
2009,Australia,3158.219,2247.099
2010,Australia,2994.791,2335.617
2011,Australia,2939.839,2282.374
2012,Australia,2902.792,2433.314
2013,Australia,2838.238,2503.427
2014,Australia,2768.896,2523.771
2015,Australia,2721.381,2540.814
2016,Australia,2648.313,2596.175
2017,Australia,2815.042,2665.386
2000,Austria,728.242,212.758
2001,Austria,708.173,222.702
2002,Austria,683.222,228.554
2003,Austria,691.091,237.41
2004,Austria,680.747,234.303
2005,Austria,616.616,236.079
2006,Austria,608.234,222.909
2007,Austria,577.364,212.614
2008,Austria,555.574,196.78
2009,Austria,536.446,182.022
2010,Austria,551.322,181.491
2011,Austria,522.927,171.711
2012,Austria,523.556,166.319
2013,Austria,564.124,167.027
2014,Austria,520.08,158.415
2015,Austria,537.598,154.582
2016,Austria,533.332,149.461
2017,Austria,527.241,142.834
2000,Belgium,925.599,339.641
2001,Belgium,877.621,330.187
2002,Belgium,863.111,318.404
2003,Belgium,837.382,316.462
2004,Belgium,798.857,328.547
2005,Belgium,752.186,314.184
2006,Belgium,697.352,300.109
2007,Belgium,652.335,290.794
2008,Belgium,653.068,263.98
2009,Belgium,426.566,237.21
2010,Belgium,496.185,241.099
2011,Belgium,393.632,224.085
2012,Belgium,343.257,210.864
2013,Belgium,518.376,202.899
2014,Belgium,318.81,193.571
2015,Belgium,371.318,193.136
2016,Belgium,359.299,181.931
2017,Belgium,291.693,171.573
2000,Canada,10850.05,2877.367
2001,Canada,10008.69,2746.197
2002,Canada,9819.604,2688.191
2003,Canada,9500.119,2647.764
2004,Canada,8945.681,2512.644
2005,Canada,7963.997,2418.145
2006,Canada,7462.758,2276.217
2007,Canada,7296.66,2269.79
2008,Canada,7102.399,2198.401
2009,Canada,6741.941,2074.083
2010,Canada,6665.003,2087.083
2011,Canada,6231.994,2033.729
2012,Canada,6020.714,1926.671
2013,Canada,5916.666,1878.971
2014,Canada,5809.794,1836.004
2015,Canada,5717.083,1767.375
2016,Canada,5668.635,1710.236
2017,Canada,5655.203,1727.59
